file,sport,date,start_time,distance_km,duration_min,avg_hr,max_hr,ascent_m,calories,avg_pace_min_km,vo2max
23097739259_ACTIVITY.fit,Running,2026-06-01,2026-06-01T23:20:48,10.16,84.8,151,186,126.0,734,8.35,
23134873742_ACTIVITY.fit,Running,2026-06-04,2026-06-04T22:52:19,21.33,210.3,152,188,353.0,1642,9.86,
23146263279_ACTIVITY.fit,Swimming,2026-06-06,2026-06-06T03:46:10,1.0,25.8,135,156,,234,25.77,
23209395979_ACTIVITY.fit,Running,2026-06-11,2026-06-11T08:59:07,6.3,42.0,149,177,,412,6.67,
23240361119_ACTIVITY.fit,Running,2026-06-13,2026-06-13T21:01:21,25.9,234.4,159,194,267.0,1920,9.05,
23279998495_ACTIVITY.fit,Swimming,2026-06-17,2026-06-17T08:36:06,2.0,54.1,145,164,,513,27.07,
23281896309_ACTIVITY.fit,Running,2026-06-17,2026-06-17T11:52:52,3.02,27.5,146,158,47.0,225,9.09,
23300870587_ACTIVITY.fit,Cycling,2026-06-18,2026-06-18T23:23:50,46.91,99.7,160,193,11.0,983,2.13,7.842
23315384799_ACTIVITY.fit,Running,2026-06-20,2026-06-20T09:30:12,4.46,43.4,164,189,249.0,434,9.73,
23380820207_ACTIVITY.fit,Cycling,2026-06-25,2026-06-25T23:27:35,27.44,59.6,162,188,7.0,606,2.17,
23380956202_ACTIVITY.fit,Running,2026-06-26,2026-06-26T00:35:01,2.01,20.5,144,181,57.0,159,10.2,
23417277403_ACTIVITY.fit,Running,2026-06-29,2026-06-29T10:03:07,10.01,99.7,171,198,791.0,992,9.96,
