date,sleep_hours,time_in_bed_hours,sleep_score,recovery_score,avg_sleep_stress,avg_sleep_hr,avg_spo2
2026-06-01,5.33,5.43,62,76,17.139999389648438,57.0,89.96
2026-06-02,4.68,4.7,58,98,10.5600004196167,53.0,96.4
2026-06-03,8.35,8.83,77,61,24.56999969482422,59.0,94.61
2026-06-04,5.68,6.25,58,100,9.1899995803833,54.0,93.66
2026-06-05,5.1,5.1,65,76,17.239999771118164,53.0,92.88
2026-06-06,7.5,7.68,84,84,14.020000457763672,53.0,95.24
2026-06-07,8.0,8.53,86,78,15.819999694824219,54.0,95.67
2026-06-09,6.53,6.75,76,75,17.56999969482422,54.0,92.52
2026-06-10,7.48,7.58,79,78,15.90999984741211,56.0,91.87
2026-06-11,6.98,7.0,81,95,11.239999771118164,52.0,92.3
2026-06-12,7.4,7.93,76,66,22.020000457763672,59.0,98.29
2026-06-13,5.1,5.1,69,78,15.850000381469727,56.0,97.64
2026-06-14,3.6,3.82,43,65,22.25,57.0,94.81
2026-06-17,7.15,7.42,61,46,30.700000762939453,64.0,90.82
2026-06-18,7.82,7.82,87,87,13.329999923706055,54.0,91.65
2026-06-19,4.2,4.43,53,79,15.569999694824219,52.0,91.43
2026-06-20,6.65,6.65,77,74,18.059999465942383,54.0,98.11
2026-06-21,5.62,6.0,64,77,16.639999389648438,59.0,96.41
2026-06-22,7.43,7.52,88,86,13.510000228881836,55.0,92.25
