date,acute_load,chronic_load,acwr,load_status,load_percent
2026-06-01,379,401,0.9,OPTIMAL,38
2026-06-02,295,394,0.7,LOW,29
2026-06-03,348,414,0.8,OPTIMAL,33
2026-06-04,278,404,0.6,LOW,25
2026-06-05,207,393,0.5,LOW,20
2026-06-06,354,429,0.8,OPTIMAL,33
2026-06-07,332,425,0.7,LOW,29
2026-06-08,264,414,0.6,LOW,25
2026-06-09,221,398,0.5,LOW,20
2026-06-10,178,382,0.4,LOW,16
2026-06-11,134,366,0.3,LOW,12
2026-06-12,154,364,0.4,LOW,16
2026-06-13,119,347,0.3,LOW,12
2026-06-14,83,330,0.2,LOW,8
2026-06-15,295,365,0.8,OPTIMAL,33
2026-06-16,256,345,0.7,LOW,29
2026-06-17,221,327,0.6,LOW,25
2026-06-18,311,335,0.9,OPTIMAL,38
2026-06-19,263,319,0.8,OPTIMAL,33
2026-06-20,432,348,1.2,OPTIMAL,52
2026-06-21,450,356,1.2,OPTIMAL,52
2026-06-22,375,344,1.0,OPTIMAL,42
